protein,description,log_ratio_1,log_ratio_2,log_ratio_3,avg_ratio,sd_ratio,ratio_count
P74464,P74464_SYNY3 General secretion pathway protein F OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gspF PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55901,MINC_SYNY3 Probable septum site-determining protein MinC OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=minC PE=3 SV=2,NA,NA,NA,NA,NA,0
Q55680,Y005_SYNY3 Uncharacterized protein sll0005 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0005 PE=3 SV=1,NA,NA,NA,NA,NA,0
P73300,RL36_SYNY3 50S ribosomal protein L36 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpmJ PE=3 SV=1,NA,NA,NA,NA,NA,0
P73111,P73111_SYNY3 Sll1835 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1835 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q59977,CISY_SYNY3 Citrate synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gltA PE=3 SV=1,NA,NA,NA,NA,NA,0
P24602,BFR_SYNY3 Bacterioferritin OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=bfr PE=1 SV=2,NA,NA,NA,NA,NA,0
P73553,MSCL_SYNY3 Large-conductance mechanosensitive channel OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=mscL PE=3 SV=1,NA,NA,NA,NA,NA,0
P14835,PSBH_SYNY3 Photosystem II reaction center protein H OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psbH PE=1 SV=3,NA,NA,NA,NA,NA,0
P73817,SLAP_SYNY3 S-layer protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1951 PE=1 SV=1,NA,NA,NA,NA,NA,0
P27178,ATP6_SYNY3 ATP synthase subunit a OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=atpB PE=3 SV=1,NA,NA,NA,NA,NA,0
P72956,P72956_SYNY3 PleD gene product OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pleD PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55671,Q55671_SYNY3 Slr0013 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0013 PE=4 SV=1,NA,NA,NA,NA,NA,0
P38382,SECE_SYNY3 Protein translocase subunit SecE OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=secE PE=3 SV=1,NA,NA,NA,NA,NA,0
P73598,P73598_SYNY3 Sll1305 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1305 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55389,"FTRC_SYNY3 Ferredoxin-thioredoxin reductase, catalytic chain OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ftrC PE=1 SV=1",NA,NA,NA,NA,NA,0
P74429,P74429_SYNY3 Ycf39 gene product OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ycf39 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74251,P74251_SYNY3 Sll1089 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1089 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74433,P74433_SYNY3 Slr0404 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0404 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73605,P73605_SYNY3 Slr1854 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1854 PE=4 SV=1,NA,NA,NA,NA,NA,0
P72932,P72932_SYNY3 High light inducible protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=hliA PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55505,DNAJ1_SYNY3 Chaperone protein DnaJ 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=dnaJ1 PE=3 SV=1,NA,NA,NA,NA,NA,0
P73652,P73652_SYNY3 Sll1757 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1757 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q54735,CYNT_SYNY3 Carbonic anhydrase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=icfA PE=1 SV=1,NA,NA,NA,NA,NA,0
P72864,P72864_SYNY3 Carboxysome formation protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ccmA PE=4 SV=1,NA,NA,NA,NA,NA,0
P74478,P74478_SYNY3 Slr1926 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1926 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55453,Q55453_SYNY3 Aminotransferase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=aspC PE=3 SV=1,NA,NA,NA,NA,NA,0
P73493,GSHB_SYNY3 Glutathione synthetase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gshB PE=3 SV=1,NA,NA,NA,NA,NA,0
P27589,PETD_SYNY3 Cytochrome b6-f complex subunit 4 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=petD PE=3 SV=1,NA,NA,NA,NA,NA,0
P74326,P74326_SYNY3 Ssr1600 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssr1600 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73175,P73175_SYNY3 CheY subfamily OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1292 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73489,P73489_SYNY3 Ssl2245 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssl2245 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74109,P74109_SYNY3 Sll1891 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1891 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73628,Y1769_SYNY3 Probable thylakoid lumen protein sll1769 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1769 PE=3 SV=1,NA,NA,NA,NA,NA,0
P26533,ATPE_SYNY3 ATP synthase epsilon chain OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=atpC PE=1 SV=3,NA,NA,NA,NA,NA,0
Q55778,SYE_SYNY3 Glutamate--tRNA ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gltX PE=3 SV=1,NA,NA,NA,NA,NA,0
P73886,P73886_SYNY3 Ribosome-binding ATPase YchF OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ychF PE=3 SV=1,NA,NA,NA,NA,NA,0
P36265,NUSG_SYNY3 Transcription termination/antitermination protein NusG OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=nusG PE=3 SV=1,NA,NA,NA,NA,NA,0
P73626,P73626_SYNY3 Sll1771 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1771 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74342,FOLB_SYNY3 Probable dihydroneopterin aldolase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=folB PE=3 SV=2,NA,NA,NA,NA,NA,0
P73480,P73480_SYNY3 Protochlorophillide reductase 57 kD subunit OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=bchB PE=4 SV=1,NA,NA,NA,NA,NA,0
P74447,P74447_SYNY3 Ferredoxin OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0148 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55483,Q55483_SYNY3 Diadenylate cyclase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=dacA PE=3 SV=1,NA,NA,NA,NA,NA,0
P72856,DPO3B_SYNY3 Beta sliding clamp OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=dnaN PE=3 SV=1,NA,NA,NA,NA,NA,0
P72720,GLMS_SYNY3 Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=glmS PE=3 SV=3,NA,NA,NA,NA,NA,0
P74558,P74558_SYNY3 NifU protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssl2667 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73882,Y46S_SYNY3 Uncharacterized protein ssl0461 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssl0461 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73960,LEU3_SYNY3 3-isopropylmalate dehydrogenase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=leuB PE=3 SV=1,NA,NA,NA,NA,NA,0
P73601,P73601_SYNY3 Sll1784 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1784 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74518,HPF_SYNY3 Ribosome hibernation promotion factor OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=hpf PE=3 SV=1,NA,NA,NA,NA,NA,0
P73681,P73681_SYNY3 Slr2144 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr2144 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55457,Q55457_SYNY3 Slr0038 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0038 PE=4 SV=1,NA,NA,NA,NA,NA,0
P72712,PSAK1_SYNY3 Photosystem I reaction center subunit PsaK 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psaK1 PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55894,THIC_SYNY3 Phosphomethylpyrimidine synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=thiC PE=3 SV=1,NA,NA,NA,NA,NA,0
P55037,GLTB_SYNY3 Ferredoxin-dependent glutamate synthase 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gltB PE=1 SV=1,NA,NA,NA,NA,NA,0
P74725,P74725_SYNY3 Sll0577 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0577 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73410,CYSK_SYNY3 Cysteine synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=cysK PE=3 SV=2,NA,NA,NA,NA,NA,0
P73056,YC64L_SYNY3 Uncharacterized monothiol glutaredoxin ycf64-like OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1846 PE=3 SV=1,NA,NA,NA,NA,NA,0
P74155,YIDC_SYNY3 Membrane protein insertase YidC OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=yidC PE=1 SV=1,NA,NA,NA,NA,NA,0
P74339,P74339_SYNY3 Slr1624 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1624 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73672,ISPG_SYNY3 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ispG PE=3 SV=1,NA,NA,NA,NA,NA,0
P74756,P74756_SYNY3 47 kD protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0609 PE=4 SV=1,NA,NA,NA,NA,NA,0
